family,name_x,name_y,len_x,len_y,pid,bin,n_ref,sw_prec,sw_rec,sw_f1,sw_ms,dedal_prec,dedal_rec,dedal_f1,dedal_ms
PF00583,YHM7_SCHPO/21-140,O86434_PROMI/28-149,120,122,0.097,0,108,0.4688,0.1389,0.2143,27.47,0.5814,0.463,0.5155,375.44
PF00027,A0C9W6_PARTE/475-558,Q820G6_STRAW/50-138,84,89,0.0787,0,84,0.0,0.0,0.0,13.97,0.9048,0.9048,0.9048,408.22
PF00595,DEGP_ECOLI/279-368,APBA2_MOUSE/660-733,90,74,0.0989,0,73,0.7838,0.3973,0.5273,12.62,0.4412,0.411,0.4255,430.34
PF00041,PTPRB_HUMAN/1086-1168,NCAM1_BOVIN/611-691,83,81,0.0824,0,66,0.0,0.0,0.0,13.28,0.5769,0.6818,0.625,483.97
PF00104,A8Y0Z3_CAEBR/127-338,E3MBQ2_CAERE/243-439,212,197,0.0894,0,163,0.4857,0.1043,0.1717,80.26,0.6853,0.8282,0.75,387.13
PF00041,PTP69_DROME/237-327,EPHA3_CHICK/326-427,91,102,0.0965,0,77,0.0,0.0,0.0,17.25,0.5062,0.5325,0.519,342.12
PF00027,Q89IE0_BRADU/180-261,Q89MS6_BRADU/29-111,82,83,0.092,0,78,0.5714,0.2564,0.354,12.73,0.8784,0.8333,0.8553,385.23
PF00085,EPS1_YEAST/33-139,Q329V9_SHIDS/22-124,107,103,0.1927,1,101,0.9863,0.7129,0.8276,20.91,0.8713,0.8713,0.8713,505.19
PF00018,BUD14_YEAST/265-312,ABL1_HUMAN/67-113,48,47,0.1837,1,46,0.7391,0.7391,0.7391,4.27,0.7826,0.7826,0.7826,452.8
PF07686,SIGL5_HUMAN/24-140,CSPG2_MOUSE/27-148,117,122,0.1395,1,110,0.625,0.0455,0.0847,26.69,0.6465,0.5818,0.6124,408.34
PF00076,SXL_DROME/213-284,HNRPF_HUMAN/113-182,72,70,0.1918,1,69,1.0,0.3043,0.4667,9.57,0.7424,0.7101,0.7259,567.55
PF00041,PTPRB_HUMAN/996-1080,FINC_RAT/1267-1352,85,86,0.129,1,78,1.0,0.2179,0.3579,13.95,0.7738,0.8333,0.8025,551.12
PF07686,SCN2B_HUMAN/33-147,SHPS1_BOVIN/38-145,115,108,0.1557,1,101,0.7407,0.198,0.3125,23.45,0.6818,0.5941,0.6349,598.81
